profile_id,person_id,annual_income_k,income_bracket,spending_score,preferred_segment,loyalty_tier,loyalty_discount,preferred_category,num_purchases_yr
0,6279,22,15k-30k,10,Budget,Gold,0.15,Casa,39
1,6803,14,<15k,38,Moderate,Bronze,0.05,Casa,20
2,7194,20,15k-30k,38,Moderate,Silver,0.1,Alimentari,17
3,1446,8,<15k,62,Value_Seeker,Gold,0.15,Alimentari,16
4,4316,13,<15k,80,Value_Seeker,Bronze,0.05,Alimentari,45
5,5922,22,15k-30k,63,Value_Seeker,Silver,0.1,Sport,44
6,6027,6,<15k,36,Moderate,Bronze,0.05,Alimentari,19
7,1850,7,<15k,52,Moderate,Platinum,0.25,Abbigliamento,20
8,101,11,<15k,61,Value_Seeker,Bronze,0.05,Alimentari,35
9,4707,69,>50k,49,Moderate,Platinum,0.25,Viaggi,41
10,465,73,>50k,49,Moderate,Gold,0.15,Casa,34
11,4828,32,30k-50k,10,Budget,Bronze,0.05,Alimentari,29
12,3504,33,30k-50k,21,Budget,Silver,0.1,Abbigliamento,2
13,6766,16,15k-30k,41,Moderate,Gold,0.15,Casa,1
14,2778,13,<15k,1,Budget,Gold,0.15,Abbigliamento,11
15,3984,22,15k-30k,62,Value_Seeker,Silver,0.1,Alimentari,18
16,4466,14,<15k,32,Moderate,Gold,0.15,Alimentari,34
17,7141,28,15k-30k,63,Value_Seeker,Bronze,0.05,Casa,22
18,3014,116,>50k,66,Enthusiast,Gold,0.15,Abbigliamento,12
19,3246,59,>50k,44,Moderate,Gold,0.15,Elettronica,24
20,5502,118,>50k,75,Premium,Bronze,0.05,Elettronica,18
21,7173,8,<15k,74,Value_Seeker,Gold,0.15,Elettronica,1
22,4509,22,15k-30k,43,Moderate,Gold,0.15,Casa,4
23,3481,6,<15k,51,Moderate,Bronze,0.05,Alimentari,40
24,538,9,<15k,81,Value_Seeker,Gold,0.15,Alimentari,13
25,4979,96,>50k,59,Moderate,Silver,0.1,Viaggi,42
26,3381,21,15k-30k,70,Value_Seeker,Bronze,0.05,Casa,41
27,1726,79,>50k,7,Budget,Platinum,0.25,Alimentari,26
28,1188,40,30k-50k,46,Moderate,Gold,0.15,Abbigliamento,28
29,6865,39,30k-50k,13,Budget,Gold,0.15,Abbigliamento,14
30,554,24,15k-30k,49,Moderate,Bronze,0.05,Sport,2
31,5388,25,15k-30k,64,Value_Seeker,Silver,0.1,Abbigliamento,4
32,2821,22,15k-30k,84,Value_Seeker,Bronze,0.05,Casa,15
33,2885,20,15k-30k,31,Moderate,Platinum,0.25,Casa,42
34,736,108,>50k,44,Moderate,Silver,0.1,Casa,31
35,2833,6,<15k,58,Moderate,Silver,0.1,Sport,5
36,3820,7,<15k,40,Moderate,Gold,0.15,Alimentari,4
37,2029,14,<15k,79,Value_Seeker,Silver,0.1,Casa,14
38,2138,45,30k-50k,43,Moderate,Silver,0.1,Abbigliamento,25
39,6122,24,15k-30k,52,Moderate,Gold,0.15,Abbigliamento,32
40,4059,23,15k-30k,62,Value_Seeker,Platinum,0.25,Alimentari,23
41,6550,5,<15k,58,Moderate,Gold,0.15,Abbigliamento,31
42,6733,48,30k-50k,28,Budget,Platinum,0.25,Casa,24
43,5076,34,30k-50k,43,Moderate,Bronze,0.05,Casa,9
44,65,39,30k-50k,27,Budget,Platinum,0.25,Casa,42
45,6187,28,15k-30k,52,Moderate,Gold,0.15,Alimentari,5
46,2375,117,>50k,74,Premium,Gold,0.15,Sport,32
47,3439,13,<15k,36,Moderate,Gold,0.15,Casa,46
48,733,19,15k-30k,19,Budget,Platinum,0.25,Alimentari,33
49,6549,18,15k-30k,50,Moderate,Bronze,0.05,Alimentari,26
50,4951,10,<15k,44,Moderate,Silver,0.1,Elettronica,17
51,61,36,30k-50k,45,Moderate,Silver,0.1,Elettronica,18
52,1979,18,15k-30k,56,Moderate,Silver,0.1,Casa,10
53,2781,6,<15k,17,Budget,Bronze,0.05,Casa,15
54,2943,26,15k-30k,63,Value_Seeker,Bronze,0.05,Alimentari,18
55,7211,25,15k-30k,26,Budget,Bronze,0.05,Casa,45
56,1024,27,15k-30k,49,Moderate,Gold,0.15,Abbigliamento,33
57,5681,9,<15k,46,Moderate,Silver,0.1,Abbigliamento,7
58,3378,8,<15k,48,Moderate,Silver,0.1,Abbigliamento,34
59,3413,28,15k-30k,83,Value_Seeker,Gold,0.15,Sport,11
60,996,40,30k-50k,51,Moderate,Platinum,0.25,Elettronica,4
61,472,24,15k-30k,68,Value_Seeker,Gold,0.15,Abbigliamento,25
62,1671,11,<15k,63,Value_Seeker,Platinum,0.25,Alimentari,20
63,5894,26,15k-30k,62,Value_Seeker,Platinum,0.25,Viaggi,38
64,5609,8,<15k,68,Value_Seeker,Silver,0.1,Abbigliamento,20
65,625,8,<15k,65,Value_Seeker,Gold,0.15,Elettronica,13
66,4740,64,>50k,77,Premium,Gold,0.15,Viaggi,7
67,7082,41,30k-50k,48,Moderate,Silver,0.1,Lusso,9
68,5605,17,15k-30k,95,Value_Seeker,Bronze,0.05,Alimentari,33
69,3305,17,15k-30k,69,Value_Seeker,Gold,0.15,Alimentari,27
70,7343,28,15k-30k,27,Budget,Bronze,0.05,Alimentari,21
