link_id,source_id,target_id,platform,link_type,strength,created_year
0,970,234,facebook,friend,medium,2020
1,970,6487,facebook,friend,medium,2018
2,970,836,twitter,follows,N/A,2016
3,970,6557,twitter,follows,N/A,2019
4,970,3099,twitter,follows,N/A,2023
5,970,434,twitter,follows,N/A,2016
6,970,6988,twitter,follows,N/A,2006
7,970,4693,twitter,follows,N/A,2008
8,970,5622,twitter,follows,N/A,2015
9,970,1094,twitter,follows,N/A,2022
10,970,3359,twitter,follows,N/A,2010
11,6279,4193,facebook,friend,weak,2013
12,6279,23,facebook,friend,weak,2012
13,6279,5070,twitter,follows,N/A,2020
14,6279,4311,twitter,follows,N/A,2023
15,6279,4319,twitter,follows,N/A,2008
16,6279,797,twitter,follows,N/A,2011
17,6279,4387,twitter,follows,N/A,2009
18,6279,6589,twitter,follows,N/A,2006
19,6279,23,twitter,follows,N/A,2010
20,1859,7354,facebook,friend,medium,2017
21,1859,5202,facebook,friend,weak,2020
22,1859,3782,facebook,friend,medium,2020
23,1859,5382,facebook,friend,medium,2018
24,1859,4062,facebook,friend,weak,2019
25,1859,3818,facebook,friend,weak,2023
26,1859,1265,facebook,friend,strong,2012
27,1859,3656,twitter,follows,N/A,2008
28,1859,6337,twitter,follows,N/A,2008
29,1859,4883,twitter,follows,N/A,2015
30,1859,3876,twitter,follows,N/A,2022
31,1859,5844,twitter,follows,N/A,2020
32,1859,3547,twitter,follows,N/A,2019
33,1859,5985,twitter,follows,N/A,2020
34,1859,5696,twitter,follows,N/A,2018
35,1859,6294,twitter,follows,N/A,2023
36,1859,3331,twitter,follows,N/A,2023
37,1859,3404,twitter,follows,N/A,2007
38,1859,3124,twitter,follows,N/A,2012
39,6803,2543,facebook,friend,medium,2010
40,6803,1699,facebook,friend,weak,2011
41,6803,6539,twitter,follows,N/A,2011
42,6803,2251,twitter,follows,N/A,2014
43,6803,6115,twitter,follows,N/A,2016
44,6803,4894,twitter,follows,N/A,2022
45,6803,3347,twitter,follows,N/A,2012
46,6803,3737,twitter,follows,N/A,2020
47,6803,3901,twitter,follows,N/A,2022
48,6803,4958,twitter,follows,N/A,2015
49,6305,1574,facebook,friend,weak,2019
50,6305,3275,facebook,friend,medium,2018
51,6305,6835,facebook,friend,strong,2013
52,6305,4152,facebook,friend,weak,2017
53,6305,3898,facebook,friend,medium,2011
54,6305,2541,facebook,friend,weak,2008
55,6305,4744,facebook,friend,weak,2016
56,6305,4291,twitter,follows,N/A,2022
57,6305,5545,twitter,follows,N/A,2021
58,6305,1197,twitter,follows,N/A,2009
59,6305,5715,twitter,follows,N/A,2021
60,6305,6388,twitter,follows,N/A,2022
61,6305,3684,twitter,follows,N/A,2017
62,6305,2500,twitter,follows,N/A,2008
63,6305,2193,twitter,follows,N/A,2020
64,6305,3331,twitter,follows,N/A,2010
65,6305,1569,twitter,follows,N/A,2007
66,3039,2212,facebook,friend,weak,2015
67,3039,5764,facebook,friend,medium,2020
68,3039,1299,facebook,friend,medium,2008
69,3039,5224,facebook,friend,weak,2023
70,3039,4568,facebook,friend,strong,2016
71,3039,4490,twitter,follows,N/A,2020
72,3039,5556,twitter,follows,N/A,2010
73,3039,1828,twitter,follows,N/A,2018
74,3039,2820,twitter,follows,N/A,2009
75,3039,7261,twitter,follows,N/A,2011
76,3039,3184,twitter,follows,N/A,2007
77,3039,481,twitter,follows,N/A,2009
78,3039,5743,twitter,follows,N/A,2015
79,7194,4476,facebook,friend,strong,2013
80,7194,1668,facebook,friend,medium,2023
81,7194,4474,facebook,friend,strong,2023
82,7194,5908,twitter,follows,N/A,2021
83,7194,4650,twitter,follows,N/A,2019
84,7194,4400,twitter,follows,N/A,2011
85,7194,2903,twitter,follows,N/A,2016
86,7194,1581,twitter,follows,N/A,2009
87,7194,2977,twitter,follows,N/A,2006
88,7194,6843,twitter,follows,N/A,2012
89,7194,5117,twitter,follows,N/A,2007
90,7194,5435,twitter,follows,N/A,2022
91,7194,4578,twitter,follows,N/A,2014
92,7194,2189,twitter,follows,N/A,2006
93,1446,4389,facebook,friend,medium,2019
94,1446,2018,facebook,friend,medium,2010
95,1446,6021,twitter,follows,N/A,2023
96,1446,3213,twitter,follows,N/A,2017
97,1446,5577,twitter,follows,N/A,2019
98,1446,6875,twitter,follows,N/A,2007
